23.6778 	EXP 	window1: blendMode = 'avg'
23.6945 	EXP 	window1: blendMode = 'avg'
23.7112 	EXP 	window1: blendMode = 'avg'
23.7278 	EXP 	window1: blendMode = 'avg'
23.7446 	EXP 	window1: blendMode = 'avg'
23.7613 	EXP 	window1: blendMode = 'avg'
23.7778 	EXP 	window1: blendMode = 'avg'
23.7945 	EXP 	window1: blendMode = 'avg'
23.8111 	EXP 	window1: blendMode = 'avg'
23.8278 	EXP 	window1: blendMode = 'avg'
23.8446 	EXP 	window1: blendMode = 'avg'
23.8611 	EXP 	window1: blendMode = 'avg'
23.8777 	EXP 	window1: blendMode = 'avg'
23.8945 	EXP 	window1: blendMode = 'avg'
23.9111 	EXP 	window1: blendMode = 'avg'
23.9278 	EXP 	window1: blendMode = 'avg'
23.9444 	EXP 	window1: blendMode = 'avg'
23.9611 	EXP 	window1: blendMode = 'avg'
23.9779 	EXP 	window1: blendMode = 'avg'
23.9944 	EXP 	window1: blendMode = 'avg'
24.0113 	EXP 	window1: blendMode = 'avg'
24.0277 	EXP 	window1: blendMode = 'avg'
24.0444 	EXP 	window1: blendMode = 'avg'
24.0611 	EXP 	window1: blendMode = 'avg'
24.0778 	EXP 	window1: blendMode = 'avg'
24.0944 	EXP 	window1: blendMode = 'avg'
24.1110 	EXP 	window1: blendMode = 'avg'
24.1277 	EXP 	window1: blendMode = 'avg'
24.1443 	EXP 	window1: blendMode = 'avg'
24.1610 	EXP 	window1: blendMode = 'avg'
24.1778 	EXP 	window1: blendMode = 'avg'
24.1945 	EXP 	window1: blendMode = 'avg'
24.2112 	EXP 	window1: blendMode = 'avg'
24.2277 	EXP 	window1: blendMode = 'avg'
24.2443 	EXP 	window1: blendMode = 'avg'
24.2611 	EXP 	window1: blendMode = 'avg'
24.2777 	EXP 	window1: blendMode = 'avg'
24.2943 	EXP 	window1: blendMode = 'avg'
24.3110 	EXP 	window1: blendMode = 'avg'
24.3277 	EXP 	window1: blendMode = 'avg'
24.3444 	EXP 	window1: blendMode = 'avg'
24.3610 	EXP 	window1: blendMode = 'avg'
24.3777 	EXP 	window1: blendMode = 'avg'
24.3944 	EXP 	window1: blendMode = 'avg'
24.4109 	EXP 	window1: blendMode = 'avg'
24.4276 	EXP 	window1: blendMode = 'avg'
24.4443 	EXP 	window1: blendMode = 'avg'
24.4610 	EXP 	window1: blendMode = 'avg'
24.4776 	EXP 	window1: blendMode = 'avg'
24.4945 	EXP 	window1: blendMode = 'avg'
24.5109 	EXP 	window1: blendMode = 'avg'
24.5276 	EXP 	window1: blendMode = 'avg'
24.5444 	EXP 	window1: blendMode = 'avg'
24.5609 	EXP 	window1: blendMode = 'avg'
24.5775 	EXP 	window1: blendMode = 'avg'
24.5942 	EXP 	window1: blendMode = 'avg'
24.6109 	EXP 	window1: blendMode = 'avg'
24.6276 	EXP 	window1: blendMode = 'avg'
24.6442 	EXP 	window1: blendMode = 'avg'
