30.3141 	EXP 	window1: blendMode = 'avg'
30.3308 	EXP 	window1: blendMode = 'avg'
30.3477 	EXP 	window1: blendMode = 'avg'
30.3641 	EXP 	window1: blendMode = 'avg'
30.3807 	EXP 	window1: blendMode = 'avg'
30.3974 	EXP 	window1: blendMode = 'avg'
30.4141 	EXP 	window1: blendMode = 'avg'
30.4308 	EXP 	window1: blendMode = 'avg'
30.4473 	EXP 	window1: blendMode = 'avg'
30.4644 	EXP 	window1: blendMode = 'avg'
30.4807 	EXP 	window1: blendMode = 'avg'
30.4974 	EXP 	window1: blendMode = 'avg'
30.5141 	EXP 	window1: blendMode = 'avg'
30.5307 	EXP 	window1: blendMode = 'avg'
30.5473 	EXP 	window1: blendMode = 'avg'
30.5640 	EXP 	window1: blendMode = 'avg'
30.5806 	EXP 	window1: blendMode = 'avg'
30.5973 	EXP 	window1: blendMode = 'avg'
30.6140 	EXP 	window1: blendMode = 'avg'
30.6306 	EXP 	window1: blendMode = 'avg'
30.6473 	EXP 	window1: blendMode = 'avg'
30.6653 	EXP 	window1: blendMode = 'avg'
30.6806 	EXP 	window1: blendMode = 'avg'
30.6973 	EXP 	window1: blendMode = 'avg'
30.7141 	EXP 	window1: blendMode = 'avg'
30.7306 	EXP 	window1: blendMode = 'avg'
30.7473 	EXP 	window1: blendMode = 'avg'
30.7639 	EXP 	window1: blendMode = 'avg'
30.7805 	EXP 	window1: blendMode = 'avg'
30.7974 	EXP 	window1: blendMode = 'avg'
30.8139 	EXP 	window1: blendMode = 'avg'
30.8306 	EXP 	window1: blendMode = 'avg'
30.8472 	EXP 	window1: blendMode = 'avg'
30.8641 	EXP 	window1: blendMode = 'avg'
30.8812 	EXP 	window1: blendMode = 'avg'
30.8972 	EXP 	window1: blendMode = 'avg'
30.9140 	EXP 	window1: blendMode = 'avg'
30.9305 	EXP 	window1: blendMode = 'avg'
30.9472 	EXP 	window1: blendMode = 'avg'
30.9638 	EXP 	window1: blendMode = 'avg'
30.9805 	EXP 	window1: blendMode = 'avg'
30.9971 	EXP 	window1: blendMode = 'avg'
31.0140 	EXP 	window1: blendMode = 'avg'
31.0304 	EXP 	window1: blendMode = 'avg'
31.0473 	EXP 	window1: blendMode = 'avg'
31.0640 	EXP 	window1: blendMode = 'avg'
31.0807 	EXP 	window1: blendMode = 'avg'
31.0971 	EXP 	window1: blendMode = 'avg'
31.1139 	EXP 	window1: blendMode = 'avg'
31.1304 	EXP 	window1: blendMode = 'avg'
31.1471 	EXP 	window1: blendMode = 'avg'
31.1638 	EXP 	window1: blendMode = 'avg'
31.1804 	EXP 	window1: blendMode = 'avg'
31.2019 	EXP 	window1: blendMode = 'avg'
31.2139 	EXP 	window1: blendMode = 'avg'
31.2306 	EXP 	window1: blendMode = 'avg'
31.2471 	EXP 	window1: blendMode = 'avg'
31.2647 	EXP 	window1: blendMode = 'avg'
31.2804 	EXP 	window1: blendMode = 'avg'
31.2974 	EXP 	window1: blendMode = 'avg'
31.3138 	EXP 	window1: blendMode = 'avg'
31.3304 	EXP 	window1: blendMode = 'avg'
31.3471 	EXP 	window1: blendMode = 'avg'
31.3637 	EXP 	window1: blendMode = 'avg'
31.3803 	EXP 	window1: blendMode = 'avg'
31.3973 	EXP 	window1: blendMode = 'avg'
31.4139 	EXP 	window1: blendMode = 'avg'
31.4304 	EXP 	window1: blendMode = 'avg'
31.4470 	EXP 	window1: blendMode = 'avg'
31.4637 	EXP 	window1: blendMode = 'avg'
31.4803 	EXP 	window1: blendMode = 'avg'
31.4971 	EXP 	window1: blendMode = 'avg'
31.5137 	EXP 	window1: blendMode = 'avg'
31.5304 	EXP 	window1: blendMode = 'avg'
31.5470 	EXP 	window1: blendMode = 'avg'
31.5636 	EXP 	window1: blendMode = 'avg'
31.5802 	EXP 	window1: blendMode = 'avg'
31.5970 	EXP 	window1: blendMode = 'avg'
31.6136 	EXP 	window1: blendMode = 'avg'
31.6304 	EXP 	window1: blendMode = 'avg'
31.6470 	EXP 	window1: blendMode = 'avg'
31.6637 	EXP 	window1: blendMode = 'avg'
31.6809 	EXP 	window1: blendMode = 'avg'
31.6969 	EXP 	window1: blendMode = 'avg'
31.7136 	EXP 	window1: blendMode = 'avg'
31.7306 	EXP 	window1: blendMode = 'avg'
31.7470 	EXP 	window1: blendMode = 'avg'
31.7635 	EXP 	window1: blendMode = 'avg'
31.7802 	EXP 	window1: blendMode = 'avg'
31.7969 	EXP 	window1: blendMode = 'avg'
31.8136 	EXP 	window1: blendMode = 'avg'
31.8302 	EXP 	window1: blendMode = 'avg'
31.8469 	EXP 	window1: blendMode = 'avg'
31.8635 	EXP 	window1: blendMode = 'avg'
31.8802 	EXP 	window1: blendMode = 'avg'
31.8969 	EXP 	window1: blendMode = 'avg'
31.9137 	EXP 	window1: blendMode = 'avg'
31.9302 	EXP 	window1: blendMode = 'avg'
31.9469 	EXP 	window1: blendMode = 'avg'
31.9635 	EXP 	window1: blendMode = 'avg'
31.9802 	EXP 	window1: blendMode = 'avg'
31.9969 	EXP 	window1: blendMode = 'avg'
32.0135 	EXP 	window1: blendMode = 'avg'
32.0301 	EXP 	window1: blendMode = 'avg'
32.0468 	EXP 	window1: blendMode = 'avg'
32.0636 	EXP 	window1: blendMode = 'avg'
32.0802 	EXP 	window1: blendMode = 'avg'
32.0975 	EXP 	window1: blendMode = 'avg'
32.1134 	EXP 	window1: blendMode = 'avg'
32.1302 	EXP 	window1: blendMode = 'avg'
32.1468 	EXP 	window1: blendMode = 'avg'
32.1635 	EXP 	window1: blendMode = 'avg'
32.1801 	EXP 	window1: blendMode = 'avg'
32.1971 	EXP 	window1: blendMode = 'avg'
32.2134 	EXP 	window1: blendMode = 'avg'
