20.9020 	EXP 	window1: blendMode = 'avg'
20.9190 	EXP 	window1: blendMode = 'avg'
20.9360 	EXP 	window1: blendMode = 'avg'
20.9520 	EXP 	window1: blendMode = 'avg'
20.9690 	EXP 	window1: blendMode = 'avg'
20.9859 	EXP 	window1: blendMode = 'avg'
21.0019 	EXP 	window1: blendMode = 'avg'
21.0190 	EXP 	window1: blendMode = 'avg'
21.0361 	EXP 	window1: blendMode = 'avg'
21.0521 	EXP 	window1: blendMode = 'avg'
21.0691 	EXP 	window1: blendMode = 'avg'
21.0852 	EXP 	window1: blendMode = 'avg'
21.1016 	EXP 	window1: blendMode = 'avg'
21.1183 	EXP 	window1: blendMode = 'avg'
21.1351 	EXP 	window1: blendMode = 'avg'
21.1516 	EXP 	window1: blendMode = 'avg'
21.1682 	EXP 	window1: blendMode = 'avg'
21.1849 	EXP 	window1: blendMode = 'avg'
21.2016 	EXP 	window1: blendMode = 'avg'
21.2182 	EXP 	window1: blendMode = 'avg'
21.2349 	EXP 	window1: blendMode = 'avg'
21.2516 	EXP 	window1: blendMode = 'avg'
21.2682 	EXP 	window1: blendMode = 'avg'
21.2849 	EXP 	window1: blendMode = 'avg'
21.3015 	EXP 	window1: blendMode = 'avg'
21.3182 	EXP 	window1: blendMode = 'avg'
21.3350 	EXP 	window1: blendMode = 'avg'
21.3515 	EXP 	window1: blendMode = 'avg'
21.3682 	EXP 	window1: blendMode = 'avg'
21.3849 	EXP 	window1: blendMode = 'avg'
21.4015 	EXP 	window1: blendMode = 'avg'
21.4182 	EXP 	window1: blendMode = 'avg'
21.4348 	EXP 	window1: blendMode = 'avg'
21.4515 	EXP 	window1: blendMode = 'avg'
21.4682 	EXP 	window1: blendMode = 'avg'
21.4848 	EXP 	window1: blendMode = 'avg'
21.5014 	EXP 	window1: blendMode = 'avg'
21.5182 	EXP 	window1: blendMode = 'avg'
21.5348 	EXP 	window1: blendMode = 'avg'
21.5514 	EXP 	window1: blendMode = 'avg'
21.5682 	EXP 	window1: blendMode = 'avg'
21.5848 	EXP 	window1: blendMode = 'avg'
21.6014 	EXP 	window1: blendMode = 'avg'
21.6181 	EXP 	window1: blendMode = 'avg'
21.6347 	EXP 	window1: blendMode = 'avg'
21.6514 	EXP 	window1: blendMode = 'avg'
21.6681 	EXP 	window1: blendMode = 'avg'
21.6848 	EXP 	window1: blendMode = 'avg'
21.7015 	EXP 	window1: blendMode = 'avg'
21.7182 	EXP 	window1: blendMode = 'avg'
21.7347 	EXP 	window1: blendMode = 'avg'
21.7516 	EXP 	window1: blendMode = 'avg'
21.7680 	EXP 	window1: blendMode = 'avg'
21.7848 	EXP 	window1: blendMode = 'avg'
21.8014 	EXP 	window1: blendMode = 'avg'
21.8180 	EXP 	window1: blendMode = 'avg'
21.8347 	EXP 	window1: blendMode = 'avg'
21.8513 	EXP 	window1: blendMode = 'avg'
21.8680 	EXP 	window1: blendMode = 'avg'
21.8847 	EXP 	window1: blendMode = 'avg'
21.9014 	EXP 	window1: blendMode = 'avg'
21.9180 	EXP 	window1: blendMode = 'avg'
21.9347 	EXP 	window1: blendMode = 'avg'
21.9513 	EXP 	window1: blendMode = 'avg'
21.9680 	EXP 	window1: blendMode = 'avg'
21.9847 	EXP 	window1: blendMode = 'avg'
22.0014 	EXP 	window1: blendMode = 'avg'
22.0180 	EXP 	window1: blendMode = 'avg'
22.0346 	EXP 	window1: blendMode = 'avg'
22.0513 	EXP 	window1: blendMode = 'avg'
22.0680 	EXP 	window1: blendMode = 'avg'
22.0849 	EXP 	window1: blendMode = 'avg'
22.1014 	EXP 	window1: blendMode = 'avg'
22.1189 	EXP 	window1: blendMode = 'avg'
22.1347 	EXP 	window1: blendMode = 'avg'
22.1514 	EXP 	window1: blendMode = 'avg'
22.1750 	EXP 	window1: blendMode = 'avg'
22.1844 	EXP 	window1: blendMode = 'avg'
22.2013 	EXP 	window1: blendMode = 'avg'
22.2180 	EXP 	window1: blendMode = 'avg'
22.2346 	EXP 	window1: blendMode = 'avg'
22.2510 	DATA 	Keypress: space
22.2748 	EXP 	window1: blendMode = 'avg'
22.3007 	EXP 	instr_text: autoDraw = False
22.3166 	EXP 	window1: blendMode = 'avg'
22.3405 	EXP 	text_4: text = ' '
22.3405 	EXP 	text_4: text = u' '
23.3125 	EXP 	window1: blendMode = 'avg'
23.3337 	EXP 	text_4: text = 'W'
23.3337 	EXP 	text_4: text = u'W'
24.0402 	DATA 	Keypress: w
24.3126 	EXP 	window1: blendMode = 'avg'
24.3334 	EXP 	text_4: text = ' '
24.3334 	EXP 	text_4: text = u' '
25.3131 	EXP 	window1: blendMode = 'avg'
25.3331 	EXP 	text_4: text = 'M'
25.3331 	EXP 	text_4: text = u'M'
25.6723 	DATA 	Keypress: m
26.3127 	EXP 	window1: blendMode = 'avg'
26.3327 	EXP 	text_4: text = ' '
26.3327 	EXP 	text_4: text = u' '
27.3139 	EXP 	window1: blendMode = 'avg'
27.3325 	EXP 	text_4: text = 'W'
27.3325 	EXP 	text_4: text = u'W'
27.8002 	DATA 	Keypress: w
28.3136 	EXP 	window1: blendMode = 'avg'
28.3321 	EXP 	text_4: text = ' '
28.3321 	EXP 	text_4: text = u' '
29.3140 	EXP 	window1: blendMode = 'avg'
29.3318 	EXP 	text_4: text = 'M'
29.3318 	EXP 	text_4: text = u'M'
29.6563 	DATA 	Keypress: m
30.3139 	EXP 	window1: blendMode = 'avg'
30.3314 	EXP 	text_4: text = ' '
30.3314 	EXP 	text_4: text = u' '
31.3141 	EXP 	window1: blendMode = 'avg'
31.3311 	EXP 	text_4: text = 'W'
31.3311 	EXP 	text_4: text = u'W'
31.6882 	DATA 	Keypress: w
32.2526 	EXP 	Sound  started
32.3153 	EXP 	window1: blendMode = 'avg'
32.3420 	EXP 	text_4: text = ' '
32.3420 	EXP 	text_4: text = u' '
33.3116 	EXP 	window1: blendMode = 'avg'
33.3518 	EXP 	text_4: text = 'M'
33.3518 	EXP 	text_4: text = u'M'
33.4537 	EXP 	Sound  started
33.6243 	DATA 	Keypress: m
34.3123 	EXP 	window1: blendMode = 'avg'
34.3302 	EXP 	text_4: text = ' '
34.3302 	EXP 	text_4: text = u' '
34.6548 	EXP 	Sound  started
35.3121 	EXP 	window1: blendMode = 'avg'
35.3382 	EXP 	text_4: text = 'W'
35.3382 	EXP 	text_4: text = u'W'
35.6322 	DATA 	Keypress: w
35.8558 	EXP 	Sound  started
36.3166 	EXP 	window1: blendMode = 'avg'
36.3424 	EXP 	text_4: text = ' '
36.3424 	EXP 	text_4: text = u' '
37.0569 	EXP 	Sound  started
37.3164 	EXP 	window1: blendMode = 'avg'
37.3419 	EXP 	text_4: text = 'M'
37.3419 	EXP 	text_4: text = u'M'
37.6562 	DATA 	Keypress: m
38.2578 	EXP 	Sound  started
38.3165 	EXP 	window1: blendMode = 'avg'
38.3400 	EXP 	text_4: text = ' '
38.3400 	EXP 	text_4: text = u' '
39.3144 	EXP 	window1: blendMode = 'avg'
39.3285 	EXP 	text_4: text = 'M'
39.3285 	EXP 	text_4: text = u'M'
39.4590 	EXP 	Sound  started
39.6163 	DATA 	Keypress: w
39.7588 	EXP 	window1: blendMode = 'avg'
39.7639 	EXP 	window1: blendMode = 'avg'
39.8002 	EXP 	window1: blendMode = 'avg'
39.8727 	EXP 	window1: blendMode = 'avg'
39.9015 	EXP 	window1: blendMode = 'avg'
40.0146 	EXP 	window1: blendMode = 'avg'
40.0516 	EXP 	window1: blendMode = 'avg'
40.1347 	EXP 	window1: blendMode = 'avg'
40.1681 	EXP 	window1: blendMode = 'avg'
40.2366 	EXP 	window1: blendMode = 'avg'
40.2685 	EXP 	window1: blendMode = 'avg'
